,Player,Cluster,Role,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,USG%
101,Justise Winslow,10,Floor general,12.6,5.4,4.3,1.1,0.3,0.433,0.375,0.628,20.8
102,Thaddeus Young,9,Do it all big,12.6,6.5,2.5,1.5,0.4,0.527,0.349,0.644,18.0
103,Trevor Ariza,4,???,12.5,5.4,3.7,1.3,0.3,0.39899999999999997,0.33399999999999996,0.7929999999999999,16.6
104,Brook Lopez,9,Do it all big,12.5,4.9,1.2,0.6,2.2,0.452,0.365,0.8420000000000001,16.7
105,Jeff Green,2,Perimiter scorer,12.3,4.0,1.8,0.6,0.5,0.475,0.34700000000000003,0.888,17.8
106,Hassan Whiteside,3,Rim runner,12.3,11.3,0.8,0.6,1.9,0.5710000000000001,0.125,0.449,22.6
107,Wesley Matthews,1,3&D guard,12.2,2.5,2.3,0.8,0.2,0.4,0.37200000000000005,0.81,17.8
108,Joe Ingles,10,Floor general,12.1,4.0,5.7,1.2,0.2,0.44799999999999995,0.391,0.7070000000000001,17.5
109,JaVale McGee,3,Rim runner,12.0,7.5,0.7,0.6,2.0,0.624,0.083,0.632,20.2
110,Willie Cauley-Stein,9,Do it all big,11.9,8.4,2.4,1.2,0.6,0.556,0.5,0.551,17.5
111,Jae Crowder,2,Perimiter scorer,11.9,4.8,1.7,0.8,0.4,0.39899999999999997,0.331,0.721,19.1
112,E'Twaun Moore,1,3&D guard,11.9,2.4,1.9,0.8,0.2,0.48100000000000004,0.43200000000000005,0.763,17.3
113,Derrick Favors,3,Rim runner,11.8,7.4,1.2,0.7,1.4,0.586,0.218,0.675,19.4
114,Bryn Forbes,1,3&D guard,11.8,2.9,2.1,0.5,0.0,0.456,0.426,0.885,17.4
115,D.J. Augustin,6,Shooter,11.7,2.5,5.3,0.6,0.0,0.47,0.42100000000000004,0.866,17.2
116,Kent Bazemore,4,???,11.6,3.9,2.3,1.3,0.6,0.402,0.32,0.726,22.0
117,Gordon Hayward,2,Perimiter scorer,11.5,4.5,3.4,0.9,0.3,0.466,0.33299999999999996,0.8340000000000001,19.0
118,Josh Jackson,4,???,11.5,4.4,2.3,0.9,0.7,0.413,0.324,0.6709999999999999,23.9
119,Kentavious Caldwell-Pope,1,3&D guard,11.4,2.9,1.3,0.9,0.2,0.43,0.34700000000000003,0.867,18.1
120,Malik Beasley,1,3&D guard,11.3,2.5,1.2,0.7,0.1,0.474,0.402,0.848,18.7
121,Reggie Bullock,1,3&D guard,11.3,2.7,2.0,0.6,0.2,0.41200000000000003,0.377,0.8590000000000001,15.8
122,Darren Collison,10,Floor general,11.2,3.1,6.0,1.4,0.1,0.467,0.40700000000000003,0.8320000000000001,17.7
123,Rodney Hood,1,3&D guard,11.2,2.2,1.8,0.8,0.2,0.435,0.35600000000000004,0.884,18.1
124,DeMarre Carroll,2,Perimiter scorer,11.1,5.2,1.3,0.5,0.1,0.395,0.342,0.76,18.6
125,Alex Len,2,Perimiter scorer,11.1,5.5,1.1,0.4,0.9,0.494,0.363,0.648,22.1
126,DeAndre Jordan,3,Rim runner,11.0,13.1,2.3,0.6,1.1,0.6409999999999999,0.0,0.705,15.0
127,Fred VanVleet,6,Shooter,11.0,2.6,4.8,0.9,0.3,0.41,0.37799999999999995,0.843,17.9
128,Jarrett Allen,3,Rim runner,10.9,8.4,1.4,0.5,1.5,0.59,0.133,0.7090000000000001,15.9
129,Trey Burke,4,???,10.9,1.7,2.7,0.6,0.1,0.431,0.35200000000000004,0.831,24.8
130,Tyler Johnson,4,???,10.9,3.0,2.9,0.9,0.5,0.413,0.34600000000000003,0.748,18.5
131,Allonzo Trier,4,???,10.9,3.1,1.9,0.4,0.2,0.44799999999999995,0.39399999999999996,0.8029999999999999,21.5
132,Dewayne Dedmon,9,Do it all big,10.8,7.5,1.4,1.1,1.1,0.49200000000000005,0.382,0.8140000000000001,16.7
133,Taj Gibson,9,Do it all big,10.8,6.5,1.2,0.8,0.6,0.5660000000000001,0.324,0.757,17.2
134,Shai Gilgeous-Alexander,10,Floor general,10.8,2.8,3.3,1.2,0.5,0.47600000000000003,0.36700000000000005,0.8,18.3
135,Damyean Dotson,4,???,10.7,3.6,1.8,0.8,0.1,0.415,0.368,0.745,17.3
136,Dwight Powell,3,Rim runner,10.6,5.3,1.5,0.6,0.6,0.597,0.307,0.772,17.2
137,Dario Saric,2,Perimiter scorer,10.6,5.6,1.6,0.6,0.1,0.43700000000000006,0.365,0.88,17.8
138,Marco Belinelli,1,3&D guard,10.5,2.5,1.7,0.4,0.1,0.413,0.37200000000000005,0.903,19.8
139,Thomas Bryant,3,Rim runner,10.5,6.3,1.3,0.3,0.9,0.616,0.33299999999999996,0.7809999999999999,17.6
140,Justin Holiday,4,???,10.5,3.9,1.8,1.5,0.4,0.386,0.348,0.8959999999999999,15.7
141,Monte Morris,1,3&D guard,10.4,2.4,3.6,0.9,0.0,0.493,0.414,0.802,17.1
142,Wayne Ellington,1,3&D guard,10.3,2.0,1.4,1.0,0.1,0.40299999999999997,0.371,0.7959999999999999,17.2
143,Danny Green,1,3&D guard,10.3,4.0,1.6,0.9,0.7,0.465,0.455,0.841,14.1
144,Tyreke Evans,4,???,10.2,2.9,2.4,0.8,0.3,0.389,0.35600000000000004,0.7190000000000001,26.4
145,Marvin Williams,12,3&D forward,10.1,5.4,1.2,0.9,0.8,0.42200000000000004,0.366,0.767,14.9
146,Kelly Olynyk,12,3&D forward,10.0,4.7,1.8,0.7,0.5,0.46299999999999997,0.354,0.8220000000000001,18.0
147,Avery Bradley,4,???,9.9,2.8,2.4,0.7,0.3,0.408,0.35100000000000003,0.86,16.2
148,Patty Mills,1,3&D guard,9.9,2.2,3.0,0.6,0.1,0.425,0.39399999999999996,0.8540000000000001,18.5
149,Derrick White,10,Floor general,9.9,3.7,3.9,1.0,0.7,0.479,0.33799999999999997,0.772,17.7
